name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD110,nugent-sn91t,-19.247270846790247,2518.1946932249725,0.11452172734311585,58393.90092894338,-1.823902547604189e-09,0.01,3.1
SNAD110,nugent-sn1a,-21.256415256021246,2519.6921817418965,0.26457618945255595,58388.44103782669,-2.6281427969308932e-09,0.01,3.1
SNAD111,nugent-sn1a,-18.907842941300178,660.6668004860719,0.11377679801202847,58281.005398325586,6.326835466853516e-09,0.03,3.1
SNAD111,nugent-hyper,-15.616934399603775,690.361761493907,0.02655124973081456,58287.082672750184,8.688918691367753e-09,0.03,3.1
SNAD111,nugent-sn2l,-17.373708933027967,793.0634489596695,0.058279888969006176,58286.17809548866,9.529992781920872e-09,0.03,3.1
SNAD111,nugent-sn2n,-13.469697184421388,845.585696697612,0.010000002792228808,58285.64629373514,6.2129992587093695e-09,0.03,3.1
SNAD111,nugent-sn91t,-17.219584573043488,870.289928423007,0.054434210945064385,58278.82805889276,5.984614584881578e-09,0.03,3.1
SNAD111,nugent-sn1bc,-19.689808239030935,878.5467234580386,0.1585641467194558,58283.21864682194,7.480716565338988e-09,0.03,3.1
SNAD111,nugent-sn91bg,-13.46969667615782,926.6978164720347,0.010000000469133354,58287.54097910511,9.386371156617581e-09,0.03,3.1
SNAD111,nugent-sn2p,-18.965843851226747,1131.5461868949858,0.11664011033556132,58286.543130210564,6.989878774332466e-09,0.03,3.1
SNAD112,nugent-sn1a,-19.573855665478188,945.2076401752153,0.12095480941574363,58243.030858554994,1.295814130383482e-08,0.03,3.1
SNAD112,nugent-hyper,-13.992793265029139,1167.0271392670998,0.010000012301966508,58249.3341035536,1.814754557296483e-08,0.03,3.1
SNAD112,nugent-sn1bc,-13.992790574969764,1458.0677048024236,0.010000000006638126,58246.95017831545,1.571401470039263e-08,0.03,3.1
SNAD112,nugent-sn2l,-16.106815971671463,1479.5923785874504,0.02615586330648775,58249.67716339787,2.1739336216628473e-08,0.03,3.1
SNAD112,nugent-sn91t,-17.64813408693932,1744.5222195152842,0.05219768235864928,58240.49274046817,1.2285840612548976e-08,0.03,3.1
SNAD112,nugent-sn2n,-13.99279058174788,2576.1760840144766,0.010000000037618492,58247.87228411945,1.1930543497875636e-08,0.03,3.1
SNAD112,nugent-sn91bg,-19.657730307595724,2889.28779787444,0.1253634711980367,58249.35579787011,1.840433171998935e-08,0.03,3.1
SNAD112,nugent-sn2p,-19.41482507336985,3942.7743601743223,0.11299323995828157,58248.414075163266,1.2599856533297103e-08,0.03,3.1
SNAD113,nugent-sn1a,-20.30481995563511,484.86657521917084,0.18875881033218345,58328.80872853665,9.070856161313755e-09,0.02,3.1
SNAD113,nugent-sn2n,-20.827785891049814,521.8333139743476,0.23406648256388962,58317.30559613472,9.478889530387219e-09,0.02,3.1
SNAD113,nugent-sn91t,-20.46287737415293,527.7600881985513,0.20151461323400277,58323.17558902566,8.049751725106359e-09,0.02,3.1
SNAD113,nugent-hyper,-13.66705498362007,640.301943256133,0.010000084146493943,58337.0823071522,1.2894152727885933e-08,0.02,3.1
SNAD113,nugent-sn2l,-17.583731743806453,711.4619142221607,0.058607762565492334,58339.20881163019,1.2731914521627379e-08,0.02,3.1
SNAD113,nugent-sn2p,-16.531200625999944,722.0374647119784,0.03666547223760863,58337.11538220155,1.0085250143927902e-08,0.02,3.1
SNAD113,nugent-sn1bc,-13.66703657364797,760.1362836456681,0.010000000000596655,58334.87612288083,1.1056346893458616e-08,0.02,3.1
SNAD113,nugent-sn91bg,-18.804434260900187,1998.143084454328,0.09996288161669739,58317.87060595423,3.0901791829523443e-08,0.02,3.1
SNAD114,nugent-sn2n,-14.110286494295792,733.2876146565268,0.010000013349865583,58252.882413932624,1.835164853370754e-08,0.02,3.1
SNAD114,nugent-sn91t,-14.110324939630267,1053.8267176708712,0.010000189071813307,58247.07207105701,2.0080380842732826e-08,0.02,3.1
SNAD114,nugent-sn1a,-20.217966820098695,1074.6296679787238,0.15124074948506602,58248.75643497659,1.7796735660854568e-08,0.02,3.1
SNAD114,nugent-hyper,-14.1102835753331,1532.698021814747,0.010000000008298787,58255.287208352696,2.5118510050483757e-08,0.02,3.1
SNAD114,nugent-sn1bc,-14.110283908619913,2632.2158962859703,0.010000001531636413,58253.16963514218,2.1693337240442183e-08,0.02,3.1
SNAD114,nugent-sn2l,-19.66622809936169,2877.4886133584064,0.11966303640945714,58253.778793194615,2.781213670378741e-08,0.02,3.1
SNAD114,nugent-sn2p,-19.5785878274487,4091.9377931069325,0.11525722622261166,58254.213221631115,1.825719735661361e-08,0.02,3.1
SNAD114,nugent-sn91bg,-19.880630933230265,5738.7949427033445,0.13111800298014248,58255.625250090525,2.3959381032234327e-08,0.02,3.1
SNAD115,nugent-sn2p,-19.660065929302718,1979.036130835489,0.1349636408631768,58356.984167257935,8.156219340545024e-09,0.03,3.1
SNAD115,nugent-sn1a,-21.596717482382395,2065.0091158881355,0.29999999954229645,58349.34791244835,5.962483932903689e-09,0.03,3.1
SNAD115,nugent-sn91t,-21.596717486173056,2097.496510311057,0.2999999999972103,58345.81714089175,5.292851089968504e-09,0.03,3.1
SNAD115,nugent-sn1bc,-20.393978611061947,2216.1102588591707,0.18369730962960215,58353.38970514913,7.59363678880626e-09,0.03,3.1
SNAD115,nugent-sn2n,-21.596717476921988,2217.123552142587,0.29999999888699813,58355.22675350547,4.5205465080615325e-09,0.03,3.1
SNAD115,nugent-hyper,-18.100654420083494,2253.581546211694,0.06876004790949171,58357.12773606026,8.522869163724113e-09,0.03,3.1
SNAD115,nugent-sn2l,-18.98149674004552,2396.6558812324865,0.1009357914941163,58357.002250044075,9.15079103933464e-09,0.03,3.1
SNAD115,nugent-sn91bg,-19.646092185127124,2411.4458023535244,0.13416543881978296,58357.82406475734,8.916780023952398e-09,0.03,3.1
SNAD116,nugent-sn1bc,-13.904937374868961,2297.8212005922537,0.010000003662698341,58387.219617114475,-6.897024368817333e-09,0.02,3.1
SNAD116,nugent-sn91bg,-18.83735950876014,2352.885610564118,0.09147457921462149,58963.12673538969,-2.2856708980642273e-09,0.02,3.1
SNAD116,nugent-hyper,-18.64609449406058,2380.0852745966486,0.08417516753461934,58528.85612803716,-2.419282110530009e-09,0.02,3.1
SNAD116,nugent-sn2n,-21.679983179286697,2394.6469396034527,0.2999997231499399,59314.21527851499,-7.500416752228608e-10,0.02,3.1
SNAD116,nugent-sn2p,-18.799343371727335,2412.7767962400844,0.08997743140916764,58518.424446272606,-1.2798653458619339e-09,0.02,3.1
SNAD116,nugent-sn91t,-13.905234912850784,2424.9304844183316,0.010001363697074142,59269.168724653406,-1.1787633571411129e-09,0.02,3.1
SNAD116,nugent-sn1a,-13.904936622325412,2425.084277422964,0.01000000022308423,59270.88297608876,-1.4063876816527546e-09,0.02,3.1
SNAD116,nugent-sn2l,-19.445996457181895,2431.797872141373,0.1189037581681342,58545.14262070828,7.885817698231999e-10,0.02,3.1
SNAD118,nugent-sn1a,-19.65711942623794,791.6374109150208,0.1302605634259739,58253.64636025469,1.1816072691640463e-08,0.02,3.1
SNAD118,nugent-sn91t,-20.696034110035725,1001.4939872986058,0.2013478209222886,58248.78382151397,9.540743142865437e-09,0.02,3.1
SNAD118,nugent-hyper,-15.061940021171594,1053.467220772619,0.016969687466594337,58260.08201478703,1.5854376062204556e-08,0.02,3.1
SNAD118,nugent-sn2n,-13.902200587291723,1065.6087928391432,0.010000004633608915,58257.17748781759,1.2015962080252793e-08,0.02,3.1
SNAD118,nugent-sn2l,-19.57714959032711,1354.9421271915862,0.1258996040808462,58259.76962164169,1.6552641150625865e-08,0.02,3.1
SNAD118,nugent-sn1bc,-20.124649485142783,1449.1836275210246,0.15871990546966444,58256.33672965878,1.2731122388427566e-08,0.02,3.1
SNAD118,nugent-sn91bg,-19.582716539458367,1607.2745509559907,0.12619869062474728,58260.89757276721,1.5511955386678977e-08,0.02,3.1
SNAD118,nugent-sn2p,-19.383979870933217,1771.9543523648788,0.1159246038339273,58259.45575815318,1.1832797806682484e-08,0.02,3.1
SNAD119,nugent-sn2n,-18.638153300176167,2417.20392571855,0.0627607624812318,58309.09420760606,2.2424658317099665e-08,0.04,3.1
