name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD184,nugent-sn2n,-13.906740925537676,2583.95226389894,0.0100015786070075,58284.79988014452,8.054636860663085e-09,0.02,3.1
SNAD185,nugent-sn2l,-19.22723109791876,1403.875098435699,0.0944588909132533,58431.99953565645,1.783561114320423e-08,0.02,3.1
SNAD186,nugent-sn2n,-21.947398903270223,2897.7994250060174,0.2741695078076434,58156.24339061482,1.8739039271774984e-08,0.03,3.1
SNAD187,nugent-sn2n,-22.649412486195928,8999.87430000072,0.2999999999999554,58251.52510163561,8.717238170880338e-09,0.01,3.1
SNAD188,nugent-sn91t,-19.697712110274026,219.71085742076272,0.1387942474860783,58190.751539448,4.056552351133513e-09,0.01,3.1
SNAD189,nugent-sn1a,-21.04853545313731,567.2854951552922,0.2999999960326195,58222.893812234666,4.460046183923833e-09,0.01,3.1
SNAD190,nugent-sn2l,-19.455728051699086,2210.588332767261,0.1262360503316083,58598.10646792882,1.2729903854458865e-08,0.04,3.1
SNAD191,nugent-sn2p,-20.23585702424725,952.32885607443,0.1721314075981495,58629.58848140646,9.96914884894477e-09,0.01,3.1
SNAD192,nugent-sn1a,-18.41755772342737,1093.7723548698075,0.0697499983043961,58575.11933449986,1.4778215556600814e-08,0.03,3.1
SNAD193,nugent-sn2n,-14.1477526949012,2069.5037445405783,0.0100001559581226,58549.4204079558,1.1092973273532591e-08,0.01,3.1
SNAD194,nugent-sn2l,-16.468250372642345,2349.6672859827218,0.0282740547311216,58547.54147478238,1.5382757564196842e-08,0.03,3.1
SNAD195,nugent-sn2l,-16.289602704522782,949.1873688980016,0.0291732690326018,58609.82687733366,1.5481192532952032e-08,0.02,3.1
SNAD196,nugent-sn2l,-20.04672926847961,2755.3417345817847,0.1289722955486877,58579.27670718722,1.2113949475633278e-08,0.01,3.1
SNAD197,nugent-sn2n,-14.223949843461488,1606.746228864423,0.0100000423697623,58628.8371521024,1.0748460120298393e-08,0.02,3.1
SNAD198,nugent-sn91bg,-13.813212334329547,1682.1933239586083,0.0100000537547037,58608.31798406112,9.289292316913678e-09,0.02,3.1
SNAD199,nugent-sn2l,-20.83104761351546,4655.857445766074,0.1622636972986677,58623.61896192224,1.3460921212145697e-08,0.03,3.1
SNAD200,nugent-sn2n,-13.963222481711323,2296.72883149101,0.0100002555400482,58537.57544244416,1.1849066250066277e-08,0.08,3.1
SNAD201,nugent-sn2p,-19.145194036804156,3334.5914237703014,0.1148949150187208,58565.119132142296,6.220325276866459e-09,0.02,3.1
SNAD202,nugent-sn1a,-21.38420313501333,1536.4547921896808,0.2999999578548456,58599.79219564989,4.94206261940523e-09,0.04,3.1
SNAD203,nugent-sn2l,-17.650921342642224,2420.3075008048418,0.0587677179931399,58602.19873111354,9.468667168768871e-09,0.03,3.1
SNAD204,nugent-sn2n,-13.852878124456034,2379.798580637475,0.0100000070888006,58583.55399456295,7.90801352950909e-09,0.04,3.1
SNAD205,nugent-sn2n,-13.81438460149947,1696.7874222772114,0.0100000001278961,58570.15128610966,9.166591968685084e-09,0.03,3.1
SNAD206,nugent-sn2p,-17.687091937497364,3203.4215455667854,0.0537085760591248,58630.07134482021,1.1595105804112151e-08,0.1,3.1
SNAD207,nugent-sn2n,-14.451656375450655,2656.3429283671585,0.0100002276297963,58583.92090982885,1.3571351216746982e-08,0.03,3.1
SNAD208,nugent-sn2l,-17.837588041675872,3071.9523689831854,0.0594470741870006,58559.33415928287,1.0580957360180821e-08,0.03,3.1
SNAD209,nugent-sn2n,-14.20816069458548,2982.224735201968,0.0100000188359788,58561.450721365305,1.3379922546451766e-08,0.04,3.1
SNAD210,nugent-sn2n,-13.82046200187403,1398.9850956188052,0.0100000110991751,58564.986677759065,7.798490519354067e-09,0.03,3.1
SNAD211,nugent-sn91bg,-19.68766038651102,2899.8186965581367,0.1253263855861104,58625.00000044877,4.699230386467984e-09,0.05,3.1
SNAD212,nugent-sn2l,-15.696550215761944,2491.650845920283,0.0251206837366885,58580.912414175546,7.620718368427024e-09,0.01,3.1
SNAD213,nugent-sn2l,-17.95644959722901,2260.1586033251933,0.0621698594630315,58571.77764251734,1.04915043678498e-08,0.04,3.1
SNAD214,nugent-sn2l,-17.8910485054532,1863.8817782387637,0.0774324593343594,58602.99611784815,6.2253393456504305e-09,0.02,3.1
SNAD215,nugent-sn2n,-13.717737081682586,2965.5350187225067,0.0100002765654638,58613.3915967895,5.654345056393681e-09,0.02,3.1
SNAD216,nugent-sn2l,-19.426106421754486,2404.8850741181136,0.1344360540844337,58641.95133908094,7.076251449266489e-09,0.01,3.1
SNAD217,nugent-sn2l,-20.25138545967154,4484.607404186572,0.1219392807791063,58570.84645852687,1.8973751807265854e-08,0.05,3.1
SNAD218,nugent-sn1a,-19.21847750012513,1623.603640013525,0.117040660782045,58632.82592278047,4.9110838876272636e-09,0.04,3.1
SNAD219,nugent-sn1bc,-21.340894043426623,6734.878026662102,0.1756172942581407,58214.98848310549,1.5479121821014082e-08,0.03,3.1
SNAD220,nugent-sn2l,-18.505666994891424,3123.1540053777526,0.0640341764900026,58238.46637635928,1.6340979372765893e-08,0.03,3.1
SNAD221,nugent-sn2p,-15.440811730845027,34662.68552120584,0.0100000007190894,58270.91043224353,3.3288497654468176e-08,0.05,3.1
SNAD222,nugent-sn1a,-21.84753305391716,1257.8691314639068,0.2983812170960424,58209.23355754321,6.302384101586488e-09,0.01,3.1
